feature_name,index,feature_value,shap_effect,shap_effect_sd,intercept,sample,lo,med,hi,mae
AGE,29,0.0,-0.22639005281311791,0.21677004183157658,1.9752567969229848,1,-0.5902030653210513,-0.07345323981399529,0.4693323534541384,0.222668151793925
AGE,23,0.058613295210864925,-0.4078476935054475,0.459052811623805,1.9752567969229848,1,-0.7705886650487824,-0.12558188633667097,0.4322703687676518,0.222668151793925
AGE,6,0.07827019299499635,-0.19565861841642815,0.2166073463127496,1.9752567969229848,1,-0.5657231424486857,-0.06521088337257261,0.388567251029696,0.222668151793925
AGE,27,0.10400285918513225,-0.1883451889609719,0.22901501389661266,1.9752567969229848,1,-0.4497990321538213,-0.0601976903452217,0.3133273971459218,0.222668151793925
AGE,30,0.10507505360972115,-0.16403317552403462,0.2014038738325588,1.9752567969229848,1,-0.4233124654874737,-0.05468647063349541,0.32484504201334774,0.222668151793925
AGE,4,0.10864903502501784,-0.2049383003496395,0.2535378520229033,1.9752567969229848,1,-0.45976465321790344,-0.06493398652518818,0.3011599413071179,0.222668151793925
AGE,20,0.1336669049320943,-0.14133582798584018,0.1941039594234368,1.9752567969229848,1,-0.39674587245410087,-0.04697431284552316,0.2811315694657633,0.222668151793925
AGE,19,0.14796283059328094,-0.2914822264668505,0.4277724216533479,1.9752567969229848,1,-0.5676733630754445,-0.0928687747946569,0.30920065913432565,0.222668151793925
AGE,21,0.16261615439599716,-0.16423799366887773,0.2504420310107243,1.9752567969229848,1,-0.4058101678537013,-0.053141982961438725,0.24156837251168733,0.222668151793925
AGE,8,0.2005003573981415,-0.05178231212736877,0.14086646145883255,1.9752567969229848,1,-0.22508651946751226,-0.01450640750811413,0.18496119849869785,0.222668151793925
AGE,3,0.2276626161543959,-0.09061036569345747,0.20827615225956433,1.9752567969229848,1,-0.2601082014861938,-0.030914679662131232,0.1828681738882674,0.222668151793925
AGE,13,0.22837741243745535,-0.21406787156628104,0.4458533880084523,1.9752567969229848,1,-0.3951678987302152,-0.0686328205533225,0.19613296511814612,0.222668151793925
AGE,10,0.25982844889206574,-0.06450836179139424,0.1751939400882304,1.9752567969229848,1,-0.22086312669815583,-0.02090552062294618,0.14597698547411897,0.222668151793925
AGE,24,0.2698355968548964,-0.12438011015046616,0.32550819972293754,1.9752567969229848,1,-0.24589888429075776,-0.03584980648351313,0.12281563818022591,0.222668151793925
AGE,26,0.2898498927805575,-0.049620348948729784,0.19041099227704322,1.9752567969229848,1,-0.16039661441977565,-0.015235060412375285,0.1024718626279159,0.222668151793925
AGE,1,0.2916368834882059,-0.036054560230093555,0.1645897806052038,1.9752567969229848,1,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.222668151793925
AGE,15,0.35275196568977835,-0.023792814679185967,0.2108102434936549,1.9752567969229848,1,-0.11935172082252171,-0.008740808545712207,0.060062173085017594,0.222668151793925
AGE,17,0.4689063616869193,0.05143821316146802,0.23845954330859145,1.9752567969229848,1,-0.10826893960665077,0.014580408140629487,0.12120554196052455,0.222668151793925
AGE,2,0.5289492494639029,0.08824204408992273,0.25674379430452365,1.9752567969229848,1,-0.16653740975072825,0.024961515840477747,0.1981008564656803,0.222668151793925
AGE,5,0.5932809149392423,0.2607005309810656,0.46543671473321574,1.9752567969229848,1,-0.2617247674165615,0.07635133642745494,0.44716483526986966,0.222668151793925
AGE,25,0.6104360257326663,0.1606154828835858,0.2842582638192795,1.9752567969229848,1,-0.2533708139727115,0.04994555552539093,0.3505241633169129,0.222668151793925
AGE,28,0.695854181558256,0.275984016804403,0.3445117945191798,1.9752567969229848,1,-0.33350180953155656,0.08825608553460441,0.5674458034256036,0.222668151793925
AGE,14,0.7483917083631165,0.21097200815742034,0.2811540531356635,1.9752567969229848,1,-0.36878301430233307,0.06528080239939321,0.4923988606604236,0.222668151793925
AGE,18,0.8280914939242315,0.2593137466561525,0.30719716388918605,1.9752567969229848,1,-0.404040812002278,0.08066615323126836,0.5981594860296069,0.222668151793925
AGE,22,0.8909935668334523,0.5753078358725362,0.46378047892326174,1.9752567969229848,1,-0.5438186700145242,0.17766515488476656,1.0875858600673411,0.222668151793925
AGE,16,0.8963545389563975,0.37726934043980653,0.3428763320279973,1.9752567969229848,1,-0.49097253514042205,0.1219180744697689,0.8573914624683802,0.222668151793925
AGE,12,0.9110078627591136,0.6918510170040477,0.554917435372948,1.9752567969229848,1,-0.6002870174760307,0.2137659811822364,1.2119087473887593,0.222668151793925
AGE,11,0.931736954967834,0.37746396143303784,0.37097818509015307,1.9752567969229848,1,-0.5975271097802952,0.11846789049108603,0.9342149809734716,0.222668151793925
AGE,9,0.9356683345246604,0.33606224273503105,0.3212498805442877,1.9752567969229848,1,-0.47919030055075285,0.09840541967028957,0.805919054384407,0.222668151793925
AGE,7,1.0,0.37573829072108766,0.40766508227019205,1.9752567969229848,1,-0.5980114405495814,0.11683897819069766,0.9446592103073211,0.222668151793925
ALB,19,0.0,1.1785834831439381,0.7829544703252346,1.9752567969229848,1,0.0773419655917602,1.5050918205525494,3.3249619613963826,0.4594806948104165
ALB,23,0.08176100628930809,0.9444807355891475,0.7965850637982023,1.9752567969229848,1,0.07781597342971225,1.2003135589601386,2.588108607267574,0.4594806948104165
ALB,13,0.10062893081761012,0.9754507583318767,0.8805365421144501,1.9752567969229848,1,0.09802372206417774,1.1535249211295544,2.3809840656612105,0.4594806948104165
ALB,6,0.11320754716981139,0.480338202631539,0.47418787394592593,1.9752567969229848,1,0.015306508256106327,0.7403108984154723,1.7443984736715523,0.4594806948104165
ALB,22,0.1572327044025157,0.7052390334119086,0.7679415214566262,1.9752567969229848,1,0.06381942964040385,0.8396531951899711,1.720932572162598,0.4594806948104165
ALB,3,0.17610062893081746,0.3373336715130361,0.4835162821171688,1.9752567969229848,1,-0.00048596316200004425,0.4676149303064151,1.035161104237893,0.4594806948104165
ALB,11,0.18238993710691823,0.3664335285819622,0.5065319345624293,1.9752567969229848,1,-0.01021722128466148,0.49376965655345983,1.1273464320635025,0.4594806948104165
ALB,2,0.20125786163521997,0.29430456221814216,0.4915562855265948,1.9752567969229848,1,-0.0014943601793410155,0.391710462894051,0.8917705561710378,0.4594806948104165
ALB,12,0.25786163522012584,0.5122001037363033,0.9341444179277452,1.9752567969229848,1,0.04870094386820507,0.5858306424386911,1.1652893088713256,0.4594806948104165
ALB,20,0.25786163522012584,0.19921179907699382,0.4778761698044087,1.9752567969229848,1,-0.013089524467534067,0.29741996850691793,0.6876216835223371,0.4594806948104165
ALB,25,0.2704402515723271,0.22519874358875383,0.5388570789380089,1.9752567969229848,1,-0.003358874752935106,0.3107986952185299,0.6951224632455887,0.4594806948104165
ALB,5,0.27672955974842756,0.4275046959838596,0.8987330809705645,1.9752567969229848,1,0.03988337581485869,0.5106084401671919,1.0323419460998884,0.4594806948104165
ALB,7,0.3018867924528301,0.1350402034850617,0.5036748928433676,1.9752567969229848,1,-0.048964997967503476,0.16894939026147548,0.420103631360379,0.4594806948104165
ALB,29,0.3018867924528301,0.13681594089294044,0.4981842700675861,1.9752567969229848,1,-0.011230047996902534,0.20162915677086213,0.4871816623378856,0.4594806948104165
ALB,30,0.32075471698113217,0.10475365221508033,0.5005173866923949,1.9752567969229848,1,-0.02210803159936482,0.15354303102691347,0.407555300644104,0.4594806948104165
ALB,28,0.32704402515723263,0.16826995665135921,0.657075384799498,1.9752567969229848,1,-0.00855022330493417,0.2129344641841171,0.5081449565217643,0.4594806948104165
ALB,16,0.4465408805031443,-0.08629201097979174,0.5981465808501689,1.9752567969229848,1,-0.3889880999057109,-0.10349908693768452,0.031191289897749518,0.4594806948104165
ALB,17,0.46540880503144627,-0.11506934873058934,0.5633841661385176,1.9752567969229848,1,-0.4265090262210358,-0.1411630725367108,0.0036071242719430837,0.4594806948104165
ALB,1,0.5283018867924529,-0.18035041015929226,0.513364161448208,1.9752567969229848,1,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.4594806948104165
ALB,27,0.6163522012578615,-0.3606676769367201,0.6149489422036993,1.9752567969229848,1,-1.1002884250515441,-0.48850585403956515,-0.03469549666248461,0.4594806948104165
ALB,4,0.6352201257861635,-0.4184176213997921,0.6535179526788132,1.9752567969229848,1,-1.3000564489951916,-0.565421149456503,-0.04112494890388858,0.4594806948104165
ALB,14,0.654088050314465,-0.37058027059699117,0.5994401989266886,1.9752567969229848,1,-1.0478108324212985,-0.4861341027718571,-0.035693540255324535,0.4594806948104165
ALB,10,0.672955974842767,-0.39324886580999285,0.5856437065437029,1.9752567969229848,1,-1.335558219947654,-0.5686981200214111,-0.024568293506375075,0.4594806948104165
ALB,21,0.672955974842767,-0.48941775713406516,0.6808365207248143,1.9752567969229848,1,-1.5864939431408598,-0.6722032267065376,-0.0376820234837328,0.4594806948104165
ALB,26,0.7924528301886792,-0.5163578216425713,0.6174686230686334,1.9752567969229848,1,-1.427507428907376,-0.6889033438359948,-0.06362667954686474,0.4594806948104165
ALB,18,0.8490566037735848,-0.6198499287138729,0.6656730569928465,1.9752567969229848,1,-1.5299611923531835,-0.778787104398383,-0.06210720698946432,0.4594806948104165
ALB,24,0.8679245283018868,-0.9662097864241656,0.8731569527163346,1.9752567969229848,1,-2.4739695875887295,-1.1991524246373513,-0.10778265347690595,0.4594806948104165
ALB,9,0.9056603773584904,-0.7339770996048222,0.6872311875478846,1.9752567969229848,1,-1.9175857032112629,-0.9482592111390463,-0.03333907026297837,0.4594806948104165
ALB,15,0.9685534591194964,-0.7928858163887074,0.681516171720186,1.9752567969229848,1,-2.083240862662667,-1.037358543941215,-0.08784306274863125,0.4594806948104165
ALB,8,1.0,-0.5499373587392167,0.6375150599904325,1.9752567969229848,1,-1.5493445758434392,-0.7347924696710199,0.04076777323340973,0.4594806948104165
EGFR,24,0.0,0.17524276502411773,0.17269453830552348,1.9752567969229848,1,-0.4830571117810544,0.09873606079515371,0.6555816409058755,0.11548356538456035
EGFR,26,0.0325822168087696,0.09453519517317961,0.1138909000080404,1.9752567969229848,1,-0.325294194379075,0.06611243378993115,0.5113985733509189,0.11548356538456035
EGFR,15,0.03714981729598049,0.10283725302312034,0.11835184403033228,1.9752567969229848,1,-0.3415568874479409,0.06923809701459946,0.4968189869199242,0.11548356538456035
EGFR,13,0.04049939098660167,0.26468388399330406,0.2933959123517657,1.9752567969229848,1,-0.5515262062779559,0.11437822872986275,0.7684720171511203,0.11548356538456035
EGFR,18,0.044153471376370386,0.10502957426450835,0.12774036473416134,1.9752567969229848,1,-0.3157441266362636,0.06625598262514776,0.49184125655191463,0.11548356538456035
EGFR,17,0.08160779537149798,0.10466015265217526,0.13874047477076917,1.9752567969229848,1,-0.3284474143420656,0.07083043832291246,0.45831156084390307,0.11548356538456035
EGFR,22,0.1635200974421435,0.14541958138150637,0.251192610550628,1.9752567969229848,1,-0.3291378729230835,0.06297537468726061,0.37743413343872617,0.11548356538456035
EGFR,3,0.17722289890377574,0.06909271271220022,0.15645603719941997,1.9752567969229848,1,-0.2278791636943437,0.04303858488794007,0.290677115538061,0.11548356538456035
EGFR,27,0.18300852618757593,0.061237494299391654,0.12069016230856923,1.9752567969229848,1,-0.2459930399612225,0.0361268304667485,0.2624396890909159,0.11548356538456035
EGFR,12,0.19062119366626046,0.13487948014305923,0.26343423370880364,1.9752567969229848,1,-0.30237564285253077,0.054707505117748065,0.3342329749113297,0.11548356538456035
EGFR,29,0.22168087697929367,0.047408359253507545,0.13401470997330223,1.9752567969229848,1,-0.19580485926599003,0.02745451711250227,0.19887947424209218,0.11548356538456035
EGFR,2,0.22259439707673584,0.051639300049068346,0.15266874008619508,1.9752567969229848,1,-0.1842096563215033,0.0291863789265693,0.19159332796676665,0.11548356538456035
EGFR,28,0.25274056029232644,0.05392919677685645,0.18396456942989867,1.9752567969229848,1,-0.18535747511744533,0.02343499917058549,0.16283935893392346,0.11548356538456035
EGFR,5,0.28532277710109605,0.048927508991950246,0.2527712582535126,1.9752567969229848,1,-0.14768232169540244,0.01527675612970783,0.12435434136249295,0.11548356538456035
EGFR,4,0.31790499390986604,0.007224368291910136,0.13114855019093818,1.9752567969229848,1,-0.1061451520350049,-0.0022415067116336373,0.06063293768787607,0.11548356538456035
EGFR,30,0.3666260657734469,-0.010041293471547197,0.13228341345705702,1.9752567969229848,1,-0.11616555103555892,-0.012791061029766992,0.03918226487789352,0.11548356538456035
EGFR,23,0.4034713763702803,-0.05247189324839538,0.2600786331219836,1.9752567969229848,1,-0.23221153349408447,-0.026821336930683212,0.09573866099062392,0.11548356538456035
EGFR,14,0.4348355663824606,-0.038854279673288465,0.12738657130667017,1.9752567969229848,1,-0.196435512341636,-0.02774995275113834,0.08188125997095383,0.11548356538456035
EGFR,25,0.45615103532277695,-0.058656577298322674,0.16041127030959318,1.9752567969229848,1,-0.2747712944395673,-0.04178872529321388,0.13818931658955827,0.11548356538456035
EGFR,7,0.4777710109622413,-0.05626389024316276,0.146883510555517,1.9752567969229848,1,-0.2825521681613254,-0.040187835095893305,0.14105682792807914,0.11548356538456035
EGFR,20,0.48294762484774684,-0.056247033948534045,0.1416947380033187,1.9752567969229848,1,-0.2999029426794979,-0.04454296575467079,0.14908986972968927,0.11548356538456035
EGFR,16,0.535931790499391,-0.10413287289090872,0.16568188253096144,1.9752567969229848,1,-0.4050139114046139,-0.059608183891012564,0.2497637991668184,0.11548356538456035
EGFR,1,0.6461632155907432,-0.0971905193847556,0.1495337070672059,1.9752567969229848,1,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.11548356538456035
EGFR,9,0.6623020706455545,-0.1394377249740578,0.16222088228730416,1.9752567969229848,1,-0.5270661838731514,-0.08058887878551174,0.35860034090458354,0.11548356538456035
EGFR,19,0.6930572472594397,-0.3181980641645134,0.3232677712028739,1.9752567969229848,1,-0.8420174557140843,-0.13598309963373173,0.6388637595201454,0.11548356538456035
EGFR,11,0.7311205846528623,-0.20270708234215204,0.19280985442071172,1.9752567969229848,1,-0.7508984836729626,-0.11492383108051904,0.5949510111076887,0.11548356538456035
EGFR,8,0.7688794153471379,-0.10474441732108856,0.17667846816084715,1.9752567969229848,1,-0.5810056250365874,-0.06780753225700975,0.4350965934054777,0.11548356538456035
EGFR,6,0.8127283800243608,-0.23087299146115128,0.20391385144004193,1.9752567969229848,1,-0.8836621117521621,-0.1413796321369877,0.8074234489850269,0.11548356538456035
EGFR,21,0.8876370280146164,-0.2735830566460872,0.22878760706939646,1.9752567969229848,1,-0.9374546152868658,-0.14187593151121525,0.9251053220254359,0.11548356538456035
EGFR,10,1.0,-0.25435843843898964,0.2215625845519842,1.9752567969229848,1,-1.0228354847874255,-0.1379177973442784,0.9746832138571689,0.11548356538456035
WT,8,0.0,-0.7303590037001481,0.8286327773139467,1.9752567969229848,1,-1.7470823810992038,-0.7933920527474506,0.0008022319265392016,0.7231386221501294
WT,7,0.01231633535004322,-1.2325934863221,1.1435440210588854,1.9752567969229848,1,-2.4035869637109584,-1.2396070103393488,-0.04186609170846893,0.7231386221501294
WT,2,0.018150388936905862,-1.1828384846276252,1.1109893388926453,1.9752567969229848,1,-2.471488689326552,-1.253059254723436,-0.06045697456578623,0.7231386221501294
WT,3,0.08513396715643916,-1.0225530440970168,1.0499312307278081,1.9752567969229848,1,-2.294687766660059,-1.1176393381481198,-0.07965426446975968,0.7231386221501294
WT,1,0.09204840103716502,-0.8030751310892853,0.877029062652922,1.9752567969229848,1,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.7231386221501294
WT,11,0.23076923076923073,-0.8758007707140264,1.1061744630992874,1.9752567969229848,1,-1.7706013182042004,-0.88742547477262,-0.07247582483567168,0.7231386221501294
WT,20,0.25496974935177186,-0.6711843196497411,0.9240935526864278,1.9752567969229848,1,-1.6285062630167235,-0.755494798124466,-0.03836444132047255,0.7231386221501294
WT,18,0.27225583405358683,-0.631465295132097,0.9393172475387589,1.9752567969229848,1,-1.1702660164936114,-0.5884615232815914,-0.030292595909587557,0.7231386221501294
WT,26,0.27571305099394977,-0.5555143125960703,0.8577858197941641,1.9752567969229848,1,-1.1633663415211124,-0.5601874511718268,-0.024299847852876078,0.7231386221501294
WT,17,0.28305963699222125,-0.6537875950878496,0.9574655302274179,1.9752567969229848,1,-1.363809307981741,-0.6666141414633981,-0.04596910424390419,0.7231386221501294
WT,29,0.28975799481417464,-0.6021441033348579,0.9074079225280776,1.9752567969229848,1,-1.450308387241952,-0.6656325291941037,-0.058673700819709636,0.7231386221501294
WT,14,0.2912705272255833,-0.6032095944041334,0.9174277835898456,1.9752567969229848,1,-1.2162870251721603,-0.5953054702762794,-0.039744528534862635,0.7231386221501294
WT,30,0.3087726879861711,-0.5694983934346644,0.898617818305366,1.9752567969229848,1,-1.3744347125179983,-0.6240475856965745,-0.05430259305283507,0.7231386221501294
WT,25,0.3744598098530683,-0.5263765876969888,1.0036051677233273,1.9752567969229848,1,-1.0974514748061854,-0.519824115617756,-0.038950375285098864,0.7231386221501294
WT,6,0.4124891961970612,-0.4014535914399007,0.9091764842842535,1.9752567969229848,1,-0.9499560508592058,-0.4178671794532681,-0.01651724044667309,0.7231386221501294
WT,16,0.45419187554019014,-0.3288040002926797,0.9680156201072467,1.9752567969229848,1,-0.6871959478132991,-0.2919576329786949,-0.01629153961264876,0.7231386221501294
WT,15,0.501296456352636,-0.15764558470273451,0.7920523070199702,1.9752567969229848,1,-0.3701516815386347,-0.13641874619904154,0.012095937845835798,0.7231386221501294
WT,9,0.5088591184096802,-0.15430349447366848,0.8272056981099211,1.9752567969229848,1,-0.357308520862838,-0.12564727191969366,0.017785228967870364,0.7231386221501294
WT,10,0.527009507346586,-0.11340227641615563,0.7279956389857565,1.9752567969229848,1,-0.3348915344385979,-0.0983754723192651,0.054985503582696355,0.7231386221501294
WT,27,0.5544511668107174,-0.06173955232937352,0.7891115597004217,1.9752567969229848,1,-0.2605859879824238,-0.037649285898893804,0.1407764722299993,0.7231386221501294
WT,28,0.5985306828003455,0.06196330363525845,0.9903466639890525,1.9752567969229848,1,-0.1343409517808772,0.09679661675244174,0.36949576256455213,0.7231386221501294
WT,22,0.6741573033707863,0.40222516891010346,1.1328831422065109,1.9752567969229848,1,-0.0016028120475148557,0.4052157698061119,0.8737523584165847,0.7231386221501294
WT,4,0.691011235955056,0.2579748157520569,0.749209346225552,1.9752567969229848,1,-0.016983279106664296,0.29750476967242556,0.7800931259576707,0.7231386221501294
WT,21,0.832324978392394,0.6034831153875867,0.6873298010063261,1.9752567969229848,1,0.023616171795805913,0.7169600610013549,1.673519699259186,0.7231386221501294
WT,13,0.9317199654278303,1.392773606483304,1.0274785997868232,1.9752567969229848,1,0.08115474367788934,1.3927382473369296,2.8319325191642983,0.7231386221501294
WT,24,0.9319360414866031,1.022587140993275,0.7813345029132529,1.9752567969229848,1,0.026306591448343408,1.016329584411483,2.1883997910343154,0.7231386221501294
WT,19,0.9507346585998271,1.3461140750279614,0.9450251849486037,1.9752567969229848,1,0.06642557527039131,1.45598126431039,3.0772218148572947,0.7231386221501294
WT,23,0.9507346585998271,1.3304637208775947,0.9260207309240482,1.9752567969229848,1,0.06744912847826881,1.425517552791404,3.036830861838076,0.7231386221501294
WT,12,0.9602420051858254,1.6863548551528347,1.1205138814232407,1.9752567969229848,1,0.10992145672790676,1.528609163027601,3.0194753182237064,0.7231386221501294
WT,5,1.0,1.7124702407427899,0.9903701681824346,1.9752567969229848,1,0.09378128284481185,1.6449411014841593,3.291365670888828,0.7231386221501294
